PersonID,Age,Sex,RuralStatus
10165200,Between 18 and 20 years old,Male,Large Metro
10165896,12 or 13 years old,Male,Large Metro
10167311,Between 35 and 49 years old,Male,Small metro
10167494,Between 26 and 29 years old,Male,Large Metro
10169378,Between 50 and 64 years old,Female,Large Metro
10170904,12 or 13 years old,Male,Small metro
10173529,65 years old or older,Male,Small metro
10174483,Between 30 and 34 years old,Female,Large Metro
10176147,Between 50 and 64 years old,Male,Nonmetro
10178010,14 or 15 years old,Male,Nonmetro
10178492,Between 50 and 64 years old,Female,Large Metro
10179378,Between 30 and 34 years old,Male,Small metro
10180002,16 or 17 years old,Female,Small metro
10181309,65 years old or older,Female,Large Metro
10181353,Between 30 and 34 years old,Female,Large Metro
10181407,Between 50 and 64 years old,Female,Small metro
10183176,Between 21 and 23 years old,Male,Nonmetro
10183185,Between 35 and 49 years old,Male,Large Metro
10183650,Between 35 and 49 years old,Female,Small metro
10184209,Between 21 and 23 years old,Female,Small metro
10184479,Between 18 and 20 years old,Male,Large Metro
10185455,Between 50 and 64 years old,Female,Large Metro
10185670,Between 35 and 49 years old,Female,Large Metro
10186050,Between 35 and 49 years old,Male,Large Metro
10186333,Between 35 and 49 years old,Female,Small metro
10186660,Between 35 and 49 years old,Female,Large Metro
10187570,Between 30 and 34 years old,Female,Small metro
10188493,Between 35 and 49 years old,Female,Large Metro
10188544,24 or 25 years old,Male,Large Metro
10188892,Between 30 and 34 years old,Male,Large Metro
10189155,14 or 15 years old,Male,Small metro
10189749,Between 50 and 64 years old,Female,Large Metro
10190976,Between 35 and 49 years old,Male,Large Metro
10191641,Between 18 and 20 years old,Male,Large Metro
10191957,16 or 17 years old,Female,Small metro
10191969,Between 35 and 49 years old,Male,Small metro
10192253,14 or 15 years old,Female,Small metro
10192364,Between 35 and 49 years old,Female,Small metro
10192753,14 or 15 years old,Male,Small metro
10192877,Between 50 and 64 years old,Male,Small metro
10192881,Between 26 and 29 years old,Female,Small metro
10193710,Between 21 and 23 years old,Female,Nonmetro
10194981,Between 26 and 29 years old,Male,Large Metro
10195297,14 or 15 years old,Male,Large Metro
10197033,65 years old or older,Female,Small metro
10197058,14 or 15 years old,Male,Large Metro
10197437,Between 18 and 20 years old,Male,Nonmetro
10198648,Between 50 and 64 years old,Male,Large Metro
10198772,Between 18 and 20 years old,Male,Large Metro
10199350,Between 50 and 64 years old,Male,Large Metro
10201157,Between 26 and 29 years old,Female,Small metro
10201998,Between 30 and 34 years old,Female,Nonmetro
10202129,Between 50 and 64 years old,Male,Large Metro
10202922,Between 35 and 49 years old,Male,Small metro
10202957,Between 35 and 49 years old,Male,Large Metro
10203127,16 or 17 years old,Female,Small metro
10203426,Between 35 and 49 years old,Male,Small metro
10203600,Between 26 and 29 years old,Female,Small metro
10203802,65 years old or older,Female,Large Metro
10204416,24 or 25 years old,Male,Small metro
10204478,12 or 13 years old,Male,Small metro
10204997,Between 35 and 49 years old,Male,Large Metro
10206330,Between 35 and 49 years old,Male,Large Metro
10206693,12 or 13 years old,Male,Nonmetro
10207435,65 years old or older,Male,Nonmetro
10207476,Between 35 and 49 years old,Male,Small metro
10208400,Between 21 and 23 years old,Male,Nonmetro
10208661,Between 35 and 49 years old,Male,Small metro
10209419,24 or 25 years old,Male,Nonmetro
10209565,Between 26 and 29 years old,Female,Large Metro
10209652,Between 21 and 23 years old,Female,Small metro
10210594,Between 21 and 23 years old,Male,Small metro
10211164,Between 26 and 29 years old,Female,Large Metro
10211451,Between 35 and 49 years old,Male,Nonmetro
10211556,Between 30 and 34 years old,Female,Small metro
10213140,Between 26 and 29 years old,Male,Small metro
10213515,Between 18 and 20 years old,Male,Nonmetro
10214694,16 or 17 years old,Male,Large Metro
10214713,16 or 17 years old,Male,Small metro
10215812,Between 18 and 20 years old,Female,Large Metro
10218356,16 or 17 years old,Female,Nonmetro
10218516,Between 50 and 64 years old,Male,Large Metro
10218893,Between 18 and 20 years old,Male,Large Metro
10219051,Between 30 and 34 years old,Female,Large Metro
10219586,Between 18 and 20 years old,Male,Small metro
10219888,Between 26 and 29 years old,Male,Nonmetro
10220162,Between 50 and 64 years old,Female,Large Metro
10220881,Between 30 and 34 years old,Male,Small metro
10221649,Between 18 and 20 years old,Female,Small metro
10221919,65 years old or older,Female,Large Metro
10225135,Between 18 and 20 years old,Male,Large Metro
10225638,Between 35 and 49 years old,Male,Large Metro
10225921,Between 35 and 49 years old,Female,Large Metro
10227433,Between 35 and 49 years old,Female,Large Metro
10227831,12 or 13 years old,Male,Large Metro
10227868,Between 30 and 34 years old,Female,Large Metro
10228563,Between 35 and 49 years old,Female,Small metro
10228645,Between 21 and 23 years old,Female,Large Metro
10229018,65 years old or older,Male,Small metro
10231211,12 or 13 years old,Male,Large Metro
10232294,12 or 13 years old,Female,Small metro
10232362,12 or 13 years old,Male,Small metro
10232845,Between 35 and 49 years old,Female,Nonmetro
10233191,65 years old or older,Male,Small metro
10233326,65 years old or older,Female,Small metro
10233879,Between 50 and 64 years old,Female,Small metro
10233893,16 or 17 years old,Male,Large Metro
10235153,Between 18 and 20 years old,Female,Large Metro
10235595,Between 21 and 23 years old,Male,Large Metro
10236365,Between 50 and 64 years old,Male,Nonmetro
10236481,Between 18 and 20 years old,Male,Small metro
10237115,Between 35 and 49 years old,Female,Large Metro
10237253,12 or 13 years old,Male,Large Metro
10237540,14 or 15 years old,Male,Large Metro
10239890,16 or 17 years old,Female,Large Metro
10240711,Between 35 and 49 years old,Male,Large Metro
10241504,Between 30 and 34 years old,Female,Small metro
10242128,14 or 15 years old,Male,Small metro
10242172,65 years old or older,Female,Large Metro
10242815,16 or 17 years old,Female,Small metro
10242918,24 or 25 years old,Male,Small metro
10243843,65 years old or older,Male,Large Metro
10243997,Between 35 and 49 years old,Male,Small metro
10244313,Between 18 and 20 years old,Male,Large Metro
10244816,Between 35 and 49 years old,Female,Nonmetro
10244887,Between 35 and 49 years old,Male,Nonmetro
10245005,Between 50 and 64 years old,Female,Large Metro
10245470,Between 26 and 29 years old,Male,Small metro
10246319,Between 50 and 64 years old,Female,Large Metro
10246577,Between 35 and 49 years old,Male,Large Metro
10247362,12 or 13 years old,Male,Small metro
10249441,Between 50 and 64 years old,Female,Nonmetro
10250504,Between 21 and 23 years old,Male,Nonmetro
10251000,14 or 15 years old,Male,Small metro
10251011,Between 21 and 23 years old,Male,Large Metro
10251710,65 years old or older,Female,Small metro
10252008,Between 35 and 49 years old,Male,Large Metro
10253279,Between 21 and 23 years old,Female,Nonmetro
10253669,Between 26 and 29 years old,Male,Large Metro
10253698,Between 30 and 34 years old,Female,Large Metro
10254216,Between 26 and 29 years old,Male,Small metro
10255111,Between 50 and 64 years old,Female,Nonmetro
10256318,14 or 15 years old,Female,Large Metro
10256534,Between 26 and 29 years old,Male,Nonmetro
10256551,Between 35 and 49 years old,Female,Large Metro
10256577,65 years old or older,Female,Small metro
10256643,Between 18 and 20 years old,Male,Large Metro
10257213,16 or 17 years old,Female,Large Metro
10257587,Between 18 and 20 years old,Male,Small metro
10257643,Between 50 and 64 years old,Male,Large Metro
10257941,Between 35 and 49 years old,Female,Large Metro
10259850,14 or 15 years old,Female,Small metro
10260193,Between 21 and 23 years old,Female,Large Metro
10260324,12 or 13 years old,Male,Small metro
10261175,Between 21 and 23 years old,Female,Large Metro
10262227,Between 50 and 64 years old,Male,Large Metro
10262477,16 or 17 years old,Male,Small metro
10262743,16 or 17 years old,Female,Nonmetro
10263745,Between 21 and 23 years old,Female,Small metro
10263982,24 or 25 years old,Female,Large Metro
10265070,14 or 15 years old,Female,Nonmetro
10265261,14 or 15 years old,Female,Small metro
10265420,Between 26 and 29 years old,Female,Nonmetro
10265610,24 or 25 years old,Female,Small metro
10266593,16 or 17 years old,Female,Nonmetro
10266638,14 or 15 years old,Female,Large Metro
